
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  Connecte : L'AGENCE X [https://lagencexci.sharepoint.com/sites/LAGENCEX]
  [PROGRESSION]   16,6% | bibliotheque 1/17 | decouverte directe des niveaux 1 a 3 | 21 dossier(s) | fin estimee: 09:16:17
  [PROGRESSION]   16,6% | bibliotheque 1/17 | decouverte directe des niveaux 1 a 3 | 128 dossier(s) | fin estimee: 09:22:37
  [PROGRESSION]   16,6% | bibliotheque 1/17 | decouverte directe des niveaux 1 a 3 | 422 dossier(s) | fin estimee: 09:22:42
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 1 dossier(s) | fin estimee: 09:22:50
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 2 dossier(s) | fin estimee: 09:22:57
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 3 dossier(s) | fin estimee: 09:23:03
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 4 dossier(s) | fin estimee: 09:23:12
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 5 dossier(s) | fin estimee: 09:23:18
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 6 dossier(s) | fin estimee: 09:23:25
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 7 dossier(s) | fin estimee: 09:23:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 8 dossier(s) | fin estimee: 09:23:43
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 9 dossier(s) | fin estimee: 09:23:51
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 10 dossier(s) | fin estimee: 09:24:02
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 11 dossier(s) | fin estimee: 09:24:09
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 12 dossier(s) | fin estimee: 09:24:16
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 13 dossier(s) | fin estimee: 09:24:24
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 14 dossier(s) | fin estimee: 09:24:28
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 15 dossier(s) | fin estimee: 09:24:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 16 dossier(s) | fin estimee: 09:24:44
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 17 dossier(s) | fin estimee: 09:24:52
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 18 dossier(s) | fin estimee: 09:24:57
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 19 dossier(s) | fin estimee: 09:25:04
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 20 dossier(s) | fin estimee: 09:25:13
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 1 traite | 21 dossier(s) | fin estimee: 09:25:19
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 22 dossier(s) | fin estimee: 09:25:25
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 23 dossier(s) | fin estimee: 09:25:33
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 24 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 25 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 26 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 27 dossier(s) | fin estimee: 09:25:34
