
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  Connecte : L'AGENCE X [https://lagencexci.sharepoint.com/sites/LAGENCEX]
  Groupes et roles explicites: activation...
  [PROGRESSION]    1,9% | bibliotheque 1/17 | decouverte des niveaux 1 a 3 | 21 dossier(s) | fin estimee: 15:37:20
  [PROGRESSION]    1,9% | bibliotheque 1/17 | decouverte des niveaux 1 a 3 | 128 dossier(s) | fin estimee: 16:13:53
  [PROGRESSION]    1,9% | bibliotheque 1/17 | decouverte des niveaux 1 a 3 | 422 dossier(s) | fin estimee: 16:13:53
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 1 dossier(s) | fin estimee: 16:16:02
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 2 dossier(s) | fin estimee: 16:17:31
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 3 dossier(s) | fin estimee: 16:18:35
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 4 dossier(s) | fin estimee: 16:19:45
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 5 dossier(s) | fin estimee: 16:20:53
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 6 dossier(s) | fin estimee: 16:22:45
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 7 dossier(s) | fin estimee: 16:23:50
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 8 dossier(s) | fin estimee: 16:24:52
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 9 dossier(s) | fin estimee: 16:25:52
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 10 dossier(s) | fin estimee: 16:26:54
  [PROGRESSION]    1,9% | bibliotheque 1/17 | groupes/roles du niveau 1 | 11 dossier(s) | fin estimee: 16:28:20
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 12 dossier(s) | fin estimee: 16:29:22
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 13 dossier(s) | fin estimee: 16:31:16
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 14 dossier(s) | fin estimee: 16:32:11
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 15 dossier(s) | fin estimee: 16:33:11
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 16 dossier(s) | fin estimee: 16:34:06
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 17 dossier(s) | fin estimee: 16:35:26
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 18 dossier(s) | fin estimee: 16:36:49
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 19 dossier(s) | fin estimee: 16:37:46
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 20 dossier(s) | fin estimee: 16:38:43
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 1 | 21 dossier(s) | fin estimee: 16:40:15
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 2 | 22 dossier(s) | fin estimee: 16:40:13
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 2 | 23 dossier(s) | fin estimee: 16:40:08
  [PROGRESSION]    2,0% | bibliotheque 1/17 | groupes/roles du niveau 2 | 24 dossier(s) | fin estimee: 16:40:06
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 25 dossier(s) | fin estimee: 16:40:01
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 26 dossier(s) | fin estimee: 16:39:58
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 27 dossier(s) | fin estimee: 16:40:08
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 28 dossier(s) | fin estimee: 16:40:07
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 29 dossier(s) | fin estimee: 16:40:03
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 30 dossier(s) | fin estimee: 16:40:01
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 31 dossier(s) | fin estimee: 16:39:56
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 32 dossier(s) | fin estimee: 16:39:53
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 33 dossier(s) | fin estimee: 16:39:50
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 34 dossier(s) | fin estimee: 16:39:46
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 35 dossier(s) | fin estimee: 16:39:47
  [PROGRESSION]    2,1% | bibliotheque 1/17 | groupes/roles du niveau 2 | 36 dossier(s) | fin estimee: 16:39:44
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 37 dossier(s) | fin estimee: 16:39:42
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 38 dossier(s) | fin estimee: 16:39:39
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 39 dossier(s) | fin estimee: 16:39:37
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 40 dossier(s) | fin estimee: 16:39:33
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 41 dossier(s) | fin estimee: 16:39:32
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 42 dossier(s) | fin estimee: 16:39:38
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 43 dossier(s) | fin estimee: 16:39:36
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 44 dossier(s) | fin estimee: 16:39:33
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 45 dossier(s) | fin estimee: 16:39:31
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 46 dossier(s) | fin estimee: 16:39:27
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 47 dossier(s) | fin estimee: 16:39:25
  [PROGRESSION]    2,2% | bibliotheque 1/17 | groupes/roles du niveau 2 | 48 dossier(s) | fin estimee: 16:39:21
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 49 dossier(s) | fin estimee: 16:39:20
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 50 dossier(s) | fin estimee: 16:39:20
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 51 dossier(s) | fin estimee: 16:39:18
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 52 dossier(s) | fin estimee: 16:39:14
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 53 dossier(s) | fin estimee: 16:39:15
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 54 dossier(s) | fin estimee: 16:39:12
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 55 dossier(s) | fin estimee: 16:39:09
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 56 dossier(s) | fin estimee: 16:39:06
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 57 dossier(s) | fin estimee: 16:39:10
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 58 dossier(s) | fin estimee: 16:39:08
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 59 dossier(s) | fin estimee: 16:39:04
  [PROGRESSION]    2,3% | bibliotheque 1/17 | groupes/roles du niveau 2 | 60 dossier(s) | fin estimee: 16:39:07
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 61 dossier(s) | fin estimee: 16:39:06
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 62 dossier(s) | fin estimee: 16:39:03
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 63 dossier(s) | fin estimee: 16:39:00
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 64 dossier(s) | fin estimee: 16:38:58
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 65 dossier(s) | fin estimee: 16:38:55
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 66 dossier(s) | fin estimee: 16:38:53
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 67 dossier(s) | fin estimee: 16:38:50
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 68 dossier(s) | fin estimee: 16:38:48
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 69 dossier(s) | fin estimee: 16:38:45
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 70 dossier(s) | fin estimee: 16:38:44
  [PROGRESSION]    2,4% | bibliotheque 1/17 | groupes/roles du niveau 2 | 71 dossier(s) | fin estimee: 16:38:41
