
=== RECUPERATION DE L'ARCHITECTURE ===

  [PROGRESSION]    0,0% | initialisation | demarrage | reste: estimation apres lecture des bibliotheques | ecoule: 0s | restant estime: calcul en cours | fin estimee: calcul en cours
  Module PnP.PowerShell charge
  [PROGRESSION]    5,0% | initialisation | module charge | reste: estimation apres lecture des bibliotheques | ecoule: 1s | restant estime: 27s | fin estimee: 13:27:16
  Connecte : L'AGENCE X [https://lagencexci.sharepoint.com/sites/LAGENCEX]
  [PROGRESSION]   10,0% | initialisation | connexion SharePoint reussie | reste: estimation apres lecture des bibliotheques | ecoule: 7s | restant estime: 1min 1s | fin estimee: 13:27:55
  [PROGRESSION]   12,0% | bibliotheque 0/17 | 17 bibliotheque(s) a lire | reste: 17 bibliotheque(s), 0 dossier(s), 0 fichier(s) | ecoule: 1min 2s | restant estime: 7min 41s | fin estimee: 13:35:31
  Bibliotheque : 1. DAF
  [PROGRESSION]   12,0% | bibliotheque 1/17 | lecture de '1. DAF' | reste: 16 bibliotheque(s), 0 dossier(s), 0 fichier(s) | ecoule: 1min 2s | restant estime: 7min 41s | fin estimee: 13:35:31
  [PROGRESSION]   12,0% | bibliotheque 1/17 | chargement des elements de '1. DAF' | reste: 16 bibliotheque(s), 0 dossier(s), 0 fichier(s) | ecoule: 1min 2s | restant estime: 7min 41s | fin estimee: 13:35:32
  [PROGRESSION]   12,0% | bibliotheque 1/17 | 2300 dossier(s), 5389 fichier(s) trouves | reste: 16 bibliotheque(s), 2300 dossier(s), 5389 fichier(s) | ecoule: 1min 33s | restant estime: 11min 28s | fin estimee: 13:39:49
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '7.Banques' traite | reste: 16 bibliotheque(s), 2299 dossier(s), 5389 fichier(s) | ecoule: 1min 35s | restant estime: 11min 38s | fin estimee: 13:40:01
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '10. Autres' traite | reste: 16 bibliotheque(s), 2298 dossier(s), 5389 fichier(s) | ecoule: 1min 36s | restant estime: 11min 47s | fin estimee: 13:40:11
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '18. Process' traite | reste: 16 bibliotheque(s), 2297 dossier(s), 5389 fichier(s) | ecoule: 1min 37s | restant estime: 11min 57s | fin estimee: 13:40:22
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '1.comptabilité' traite | reste: 16 bibliotheque(s), 2296 dossier(s), 5389 fichier(s) | ecoule: 1min 39s | restant estime: 12min 10s | fin estimee: 13:40:37
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '9. Reporting' traite | reste: 16 bibliotheque(s), 2295 dossier(s), 5389 fichier(s) | ecoule: 1min 40s | restant estime: 12min 19s | fin estimee: 13:40:47
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '14. Matériel' traite | reste: 16 bibliotheque(s), 2294 dossier(s), 5389 fichier(s) | ecoule: 1min 42s | restant estime: 12min 31s | fin estimee: 13:41:01
  [PROGRESSION]   12,0% | bibliotheque 1/17 | dossier '2.RH' traite | reste: 16 bibliotheque(s), 2293 dossier(s), 5389 fichier(s) | ecoule: 1min 44s | restant estime: 12min 44s | fin estimee: 13:41:16
